,test,alg,acc,mcc,kap,auc,geo,iba,TN,FP,FN,TP,pr,re,f1,sp,pca,poly,ksel,exs,feats,tvars,time
0,1,0,0.62,0.059,0.015,0.643,0.643,0.415,184,113,1,2,0.98,0.62,0.76,300,0,0,0,998,38,12,15.28
1,1,1,0.41,0.015,0.002,0.537,0.521,0.279,121,176,1,2,0.98,0.41,0.57,300,0,0,0,998,38,12,15.28
2,1,2,0.553,0.044,0.01,0.609,0.607,0.372,164,133,1,2,0.98,0.55,0.7,300,0,0,0,998,38,12,15.28
3,1,3,0.72,0.085,0.027,0.694,0.693,0.478,214,83,1,2,0.99,0.72,0.83,300,0,0,0,998,38,12,15.28
4,1,4,0.643,0.064,0.017,0.655,0.655,0.43,191,106,1,2,0.99,0.64,0.77,300,0,0,0,998,38,12,15.28
5,1,5,0.733,0.09,0.029,0.7,0.7,0.486,218,79,1,2,0.99,0.73,0.84,300,0,0,0,998,38,12,15.28
6,1,6,0.61,0.056,0.014,0.638,0.637,0.409,181,116,1,2,0.98,0.61,0.75,300,0,0,0,998,38,12,15.28
7,1,7,0.637,0.063,0.016,0.652,0.651,0.426,189,108,1,2,0.98,0.64,0.77,300,0,0,0,998,38,12,15.28
8,1,8,0.52,0.037,0.008,0.593,0.588,0.351,154,143,1,2,0.98,0.52,0.67,300,0,0,0,998,38,12,15.28
9,1,9,0.57,0.047,0.011,0.618,0.616,0.383,169,128,1,2,0.98,0.57,0.72,300,0,0,0,998,38,12,15.28
10,2,0,0.713,0.083,0.026,0.69,0.69,0.474,212,85,1,2,0.99,0.71,0.82,300,0,0,0,998,38,12,40.12
11,2,1,0.927,0.223,0.139,0.798,0.787,0.603,276,21,1,2,0.99,0.93,0.95,300,0,0,0,998,38,12,40.12
12,2,2,0.953,0.284,0.209,0.811,0.798,0.619,284,13,1,2,0.99,0.95,0.97,300,0,0,0,998,38,12,40.12
13,2,3,0.987,0.327,0.327,0.663,0.575,0.309,295,2,2,1,0.99,0.99,0.99,300,0,0,0,998,38,12,40.12
14,2,4,0.977,0.012,0.012,0.493,0.0,0.0,293,4,3,0,0.98,0.98,0.98,300,0,0,0,998,38,12,40.12
15,2,5,0.967,0.016,0.014,0.488,0.0,0.0,290,7,3,0,0.98,0.97,0.97,300,0,0,0,998,38,12,40.12
16,2,6,0.983,0.008,0.008,0.497,0.0,0.0,295,2,3,0,0.98,0.98,0.98,300,0,0,0,998,38,12,40.12
