,test,alg,acc,mcc,kap,auc,geo,iba,TN,FP,FN,TP,pr,re,f1,sp,pca,poly,ksel,exs,feats,tvars,imb,time
0,1,0,0.61,0.141,0.039,0.802,0.778,0.629,179,117,0,4,0.99,0.61,0.74,300,0,2,0,998,780,13,0,105.74
1,1,1,0.657,0.097,0.03,0.703,0.701,0.496,194,102,1,3,0.98,0.66,0.78,300,0,2,0,998,780,13,0,105.74
2,1,2,0.75,0.002,0.001,0.503,0.435,0.18,224,72,3,1,0.97,0.75,0.85,300,0,2,0,998,780,13,0,105.74
3,1,3,0.93,0.089,0.066,0.595,0.485,0.219,278,18,3,1,0.98,0.93,0.95,300,0,2,0,998,780,13,0,105.74
4,1,4,0.987,0.0,0.0,0.5,0.0,0.0,296,0,4,0,0.97,0.99,0.98,300,0,2,0,998,780,13,0,105.74
5,1,5,0.97,0.015,0.015,0.492,0.0,0.0,291,5,4,0,0.97,0.97,0.97,300,0,2,0,998,780,13,0,105.74
6,1,6,0.983,0.007,0.005,0.498,0.0,0.0,295,1,4,0,0.97,0.98,0.98,300,0,2,0,998,780,13,0,105.74
7,1,7,0.283,0.071,0.01,0.637,0.523,0.294,81,215,0,4,0.99,0.28,0.42,300,0,2,0,998,780,13,0,105.74
8,1,8,0.987,0.0,0.0,0.5,0.0,0.0,296,0,4,0,0.97,0.99,0.98,300,0,2,0,998,780,13,0,105.74
9,1,9,0.987,0.0,0.0,0.5,0.0,0.0,296,0,4,0,0.97,0.99,0.98,300,0,2,0,998,780,13,0,105.74
10,2,0,0.607,0.14,0.039,0.801,0.775,0.625,178,118,0,4,0.99,0.61,0.74,300,0,2,0,998,780,13,1,355.87
11,2,1,0.933,0.028,0.022,0.473,0.0,0.0,280,16,4,0,0.97,0.93,0.95,300,0,2,0,998,780,13,1,355.87
12,2,2,0.74,0.19,0.069,0.868,0.858,0.756,218,78,0,4,0.99,0.74,0.84,300,0,2,0,998,780,13,1,355.87
13,2,3,0.963,0.018,0.017,0.488,0.0,0.0,289,7,4,0,0.97,0.96,0.97,300,0,2,0,998,780,13,1,355.87
14,2,4,0.97,0.015,0.015,0.492,0.0,0.0,291,5,4,0,0.97,0.97,0.97,300,0,2,0,998,780,13,1,355.87
15,2,5,0.983,0.007,0.005,0.498,0.0,0.0,295,1,4,0,0.97,0.98,0.98,300,0,2,0,998,780,13,1,355.87
16,2,6,0.983,0.007,0.005,0.498,0.0,0.0,295,1,4,0,0.97,0.98,0.98,300,0,2,0,998,780,13,1,355.87
17,2,7,0.977,0.212,0.211,0.618,0.497,0.228,292,4,3,1,0.98,0.98,0.98,300,0,2,0,998,780,13,1,355.87
18,2,8,0.98,0.24,0.24,0.62,0.497,0.229,293,3,3,1,0.98,0.98,0.98,300,0,2,0,998,780,13,1,355.87
19,2,9,0.92,0.274,0.181,0.836,0.832,0.68,273,23,1,3,0.98,0.92,0.95,300,0,2,0,998,780,13,1,355.87
20,3,0,0.497,0.112,0.025,0.745,0.7,0.515,145,151,0,4,0.99,0.5,0.65,300,0,2,0,998,780,13,2,37.75
21,3,1,0.483,0.109,0.024,0.738,0.69,0.501,141,155,0,4,0.99,0.48,0.64,300,0,2,0,998,780,13,2,37.75
22,3,2,0.347,0.082,0.013,0.669,0.581,0.36,100,196,0,4,0.99,0.35,0.5,300,0,2,0,998,780,13,2,37.75
23,3,3,0.347,0.082,0.013,0.669,0.581,0.36,100,196,0,4,0.99,0.35,0.5,300,0,2,0,998,780,13,2,37.75
24,3,4,0.35,0.083,0.014,0.671,0.584,0.364,101,195,0,4,0.99,0.35,0.5,300,0,2,0,998,780,13,2,37.75
25,3,5,0.72,0.057,0.021,0.611,0.601,0.353,214,82,2,2,0.98,0.72,0.83,300,0,2,0,998,780,13,2,37.75
26,3,6,0.463,0.105,0.022,0.728,0.675,0.481,135,161,0,4,0.99,0.46,0.62,300,0,2,0,998,780,13,2,37.75
27,3,7,0.607,0.025,0.007,0.554,0.551,0.301,180,116,2,2,0.98,0.61,0.74,300,0,2,0,998,780,13,2,37.75
28,3,8,0.563,0.129,0.032,0.779,0.747,0.582,165,131,0,4,0.99,0.56,0.71,300,0,2,0,998,780,13,2,37.75
29,3,9,0.617,0.143,0.04,0.806,0.782,0.635,181,115,0,4,0.99,0.62,0.75,300,0,2,0,998,780,13,2,37.75
30,4,0,0.507,0.115,0.026,0.75,0.707,0.525,148,148,0,4,0.99,0.51,0.66,300,0,0,0,998,38,13,0,22.76
31,4,1,0.79,0.013,0.006,0.524,0.446,0.188,236,60,3,1,0.97,0.79,0.87,300,0,0,0,998,38,13,0,22.76
32,4,2,0.54,0.123,0.03,0.767,0.731,0.559,158,138,0,4,0.99,0.54,0.69,300,0,0,0,998,38,13,0,22.76
33,4,3,0.807,0.16,0.071,0.779,0.778,0.602,239,57,1,3,0.98,0.81,0.88,300,0,0,0,998,38,13,0,22.76
34,4,4,0.917,0.175,0.118,0.711,0.679,0.442,273,23,2,2,0.98,0.92,0.95,300,0,0,0,998,38,13,0,22.76
35,4,5,0.98,0.01,0.009,0.497,0.0,0.0,294,2,4,0,0.97,0.98,0.98,300,0,0,0,998,38,13,0,22.76
36,4,6,0.98,0.01,0.009,0.497,0.0,0.0,294,2,4,0,0.97,0.98,0.98,300,0,0,0,998,38,13,0,22.76
37,4,7,0.97,0.015,0.015,0.492,0.0,0.0,291,5,4,0,0.97,0.97,0.97,300,0,0,0,998,38,13,0,22.76
38,4,8,0.987,0.0,0.0,0.5,0.0,0.0,296,0,4,0,0.97,0.99,0.98,300,0,0,0,998,38,13,0,22.76
39,4,9,0.987,0.0,0.0,0.5,0.0,0.0,296,0,4,0,0.97,0.99,0.98,300,0,0,0,998,38,13,0,22.76
40,5,0,0.527,0.119,0.028,0.76,0.721,0.545,154,142,0,4,0.99,0.53,0.68,300,0,0,0,998,38,13,1,43.14
41,5,1,0.81,0.02,0.009,0.534,0.452,0.193,242,54,3,1,0.97,0.81,0.88,300,0,0,0,998,38,13,1,43.14
42,5,2,0.807,0.16,0.071,0.779,0.778,0.602,239,57,1,3,0.98,0.81,0.88,300,0,0,0,998,38,13,1,43.14
43,5,3,0.98,0.01,0.009,0.497,0.0,0.0,294,2,4,0,0.97,0.98,0.98,300,0,0,0,998,38,13,1,43.14
44,5,4,0.967,0.161,0.152,0.613,0.494,0.226,289,7,3,1,0.98,0.97,0.97,300,0,0,0,998,38,13,1,43.14
45,5,5,0.977,0.212,0.211,0.618,0.497,0.228,292,4,3,1,0.98,0.98,0.98,300,0,0,0,998,38,13,1,43.14
46,5,6,0.963,0.15,0.138,0.611,0.493,0.226,288,8,3,1,0.98,0.96,0.97,300,0,0,0,998,38,13,1,43.14
47,5,7,0.977,0.012,0.012,0.495,0.0,0.0,293,3,4,0,0.97,0.98,0.98,300,0,0,0,998,38,13,1,43.14
48,5,8,0.93,0.196,0.141,0.718,0.684,0.448,277,19,2,2,0.98,0.93,0.95,300,0,0,0,998,38,13,1,43.14
