,test,alg,acc,mcc,kap,auc,geo,iba,TN,FP,FN,TP,pr,re,f1,sp,pca,poly,ksel,exs,feats,tvars,imb,time
0,1,0,0.563,0.129,0.032,0.779,0.747,0.582,165,131,0,4,0.99,0.56,0.71,300,0,0,0,998,221,13,0,36.45
1,1,1,0.547,0.011,0.003,0.524,0.523,0.272,162,134,2,2,0.97,0.55,0.7,300,0,0,0,998,221,13,0,36.45
2,1,2,0.75,0.067,0.026,0.627,0.614,0.367,223,73,2,2,0.98,0.75,0.85,300,0,0,0,998,221,13,0,36.45
3,1,3,0.96,0.019,0.018,0.486,0.0,0.0,288,8,4,0,0.97,0.96,0.97,300,0,0,0,998,221,13,0,36.45
4,1,4,0.987,0.0,0.0,0.5,0.0,0.0,296,0,4,0,0.97,0.99,0.98,300,0,0,0,998,221,13,0,36.45
5,1,5,0.983,0.007,0.005,0.498,0.0,0.0,295,1,4,0,0.97,0.98,0.98,300,0,0,0,998,221,13,0,36.45
6,1,6,0.983,0.007,0.005,0.498,0.0,0.0,295,1,4,0,0.97,0.98,0.98,300,0,0,0,998,221,13,0,36.45
7,1,7,0.407,0.094,0.017,0.699,0.631,0.423,118,178,0,4,0.99,0.41,0.56,300,0,0,0,998,221,13,0,36.45
8,1,8,0.987,0.0,0.0,0.5,0.0,0.0,296,0,4,0,0.97,0.99,0.98,300,0,0,0,998,221,13,0,36.45
9,1,9,0.987,0.0,0.0,0.5,0.0,0.0,296,0,4,0,0.97,0.99,0.98,300,0,0,0,998,221,13,0,36.45
10,2,0,0.637,0.091,0.027,0.693,0.69,0.482,188,108,1,3,0.98,0.64,0.77,300,0,0,0,998,221,13,1,97.08
11,2,1,0.953,0.125,0.107,0.606,0.491,0.224,285,11,3,1,0.98,0.95,0.96,300,0,0,0,998,221,13,1,97.08
12,2,2,0.96,0.273,0.235,0.733,0.695,0.461,286,10,2,2,0.98,0.96,0.97,300,0,0,0,998,221,13,1,97.08
13,2,3,0.987,0.0,0.0,0.5,0.0,0.0,296,0,4,0,0.97,0.99,0.98,300,0,0,0,998,221,13,1,97.08
14,2,4,0.977,0.012,0.012,0.495,0.0,0.0,293,3,4,0,0.97,0.98,0.98,300,0,0,0,998,221,13,1,97.08
15,2,5,0.977,0.212,0.211,0.618,0.497,0.228,292,4,3,1,0.98,0.98,0.98,300,0,0,0,998,221,13,1,97.08
16,2,6,0.983,0.007,0.005,0.498,0.0,0.0,295,1,4,0,0.97,0.98,0.98,300,0,0,0,998,221,13,1,97.08
17,2,7,0.987,0.0,0.0,0.5,0.0,0.0,296,0,4,0,0.97,0.99,0.98,300,0,0,0,998,221,13,1,97.08
18,2,8,0.977,0.212,0.211,0.618,0.497,0.228,292,4,3,1,0.98,0.98,0.98,300,0,0,0,998,221,13,1,97.08
19,2,9,0.943,0.107,0.086,0.601,0.488,0.221,282,14,3,1,0.98,0.94,0.96,300,0,0,0,998,221,13,1,97.08
20,3,0,0.473,0.05,0.011,0.61,0.593,0.362,139,157,1,3,0.98,0.47,0.63,300,0,0,0,998,221,13,2,22.31
21,3,1,0.43,0.041,0.008,0.588,0.565,0.33,126,170,1,3,0.98,0.43,0.59,300,0,0,0,998,221,13,2,22.31
22,3,2,0.497,0.056,0.013,0.622,0.608,0.379,146,150,1,3,0.98,0.5,0.65,300,0,0,0,998,221,13,2,22.31
23,3,3,0.107,0.037,0.003,0.547,0.308,0.103,28,268,0,4,0.99,0.11,0.17,300,0,0,0,998,221,13,2,22.31
24,3,4,0.287,0.071,0.01,0.639,0.526,0.297,82,214,0,4,0.99,0.29,0.43,300,0,0,0,998,221,13,2,22.31
25,3,5,0.797,0.016,0.007,0.527,0.448,0.19,238,58,3,1,0.97,0.8,0.88,300,0,0,0,998,221,13,2,22.31
26,3,6,0.347,0.082,0.013,0.669,0.581,0.36,100,196,0,4,0.99,0.35,0.5,300,0,0,0,998,221,13,2,22.31
27,3,7,0.52,0.005,0.001,0.51,0.51,0.26,154,142,2,2,0.97,0.52,0.67,300,0,0,0,998,221,13,2,22.31
28,3,8,0.617,0.028,0.008,0.559,0.556,0.305,183,113,2,2,0.98,0.62,0.75,300,0,0,0,998,221,13,2,22.31
29,3,9,0.897,0.06,0.038,0.578,0.476,0.212,268,28,3,1,0.98,0.9,0.93,300,0,0,0,998,221,13,2,22.31
30,4,0,0.77,0.061,0.026,0.39,0.0,0.0,231,65,4,0,0.97,0.77,0.86,300,0,0,20,998,221,13,0,26.59
31,4,1,0.783,0.059,0.026,0.397,0.0,0.0,235,61,4,0,0.97,0.78,0.87,300,0,0,20,998,221,13,0,26.59
32,4,2,0.953,0.022,0.019,0.483,0.0,0.0,286,10,4,0,0.97,0.95,0.96,300,0,0,20,998,221,13,0,26.59
33,4,3,0.983,0.007,0.005,0.498,0.0,0.0,295,1,4,0,0.97,0.98,0.98,300,0,0,20,998,221,13,0,26.59
34,4,4,0.987,0.0,0.0,0.5,0.0,0.0,296,0,4,0,0.97,0.99,0.98,300,0,0,20,998,221,13,0,26.59
35,4,5,0.98,0.01,0.009,0.497,0.0,0.0,294,2,4,0,0.97,0.98,0.98,300,0,0,20,998,221,13,0,26.59
36,4,6,0.977,0.012,0.012,0.495,0.0,0.0,293,3,4,0,0.97,0.98,0.98,300,0,0,20,998,221,13,0,26.59
37,4,7,0.37,0.087,0.015,0.681,0.601,0.385,107,189,0,4,0.99,0.37,0.52,300,0,0,20,998,221,13,0,26.59
38,4,8,0.987,0.0,0.0,0.5,0.0,0.0,296,0,4,0,0.97,0.99,0.98,300,0,0,20,998,221,13,0,26.59
39,4,9,0.987,0.0,0.0,0.5,0.0,0.0,296,0,4,0,0.97,0.99,0.98,300,0,0,20,998,221,13,0,26.59
40,5,0,0.54,0.123,0.03,0.767,0.731,0.559,158,138,0,4,0.99,0.54,0.69,300,0,0,20,998,221,13,1,40.3
41,5,1,0.723,0.005,0.002,0.49,0.427,0.174,216,80,3,1,0.97,0.72,0.83,300,0,0,20,998,221,13,1,40.3
42,5,2,0.643,0.093,0.028,0.696,0.694,0.487,190,106,1,3,0.98,0.64,0.77,300,0,0,20,998,221,13,1,40.3
43,5,3,0.97,0.015,0.015,0.492,0.0,0.0,291,5,4,0,0.97,0.97,0.97,300,0,0,20,998,221,13,1,40.3
