,test,alg,acc,mcc,kap,auc,geo,iba,TN,FP,FN,TP,pr,re,f1,sp,pca,poly,ksel,exs,feats,tvars,imb,time
0,1,0,0.62,0.129,0.033,0.808,0.785,0.639,229,143,0,4,0.99,0.62,0.75,376,0,0,0,1252,22,13,0,36.43
1,1,1,0.497,0.101,0.02,0.746,0.701,0.517,183,189,0,4,0.99,0.5,0.65,376,0,0,0,1252,22,13,0,36.43
2,1,2,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,22,13,0,36.43
3,1,3,0.816,0.211,0.085,0.907,0.903,0.83,303,69,0,4,0.99,0.82,0.89,376,0,0,0,1252,22,13,0,36.43
4,1,4,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,22,13,0,36.43
5,1,5,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,0,0,1252,22,13,0,36.43
6,1,6,0.979,0.011,0.011,0.495,0.0,0.0,368,4,4,0,0.98,0.98,0.98,376,0,0,0,1252,22,13,0,36.43
7,1,7,0.497,0.101,0.02,0.746,0.701,0.517,183,189,0,4,0.99,0.5,0.65,376,0,0,0,1252,22,13,0,36.43
8,1,8,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,0,0,1252,22,13,0,36.43
9,1,9,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,22,13,0,36.43
10,2,0,0.62,0.129,0.033,0.808,0.785,0.639,229,143,0,4,0.99,0.62,0.75,376,0,0,0,1252,22,13,0,27.76
11,2,1,0.497,0.101,0.02,0.746,0.701,0.517,183,189,0,4,0.99,0.5,0.65,376,0,0,0,1252,22,13,0,27.76
12,2,2,0.742,0.057,0.02,0.622,0.61,0.363,277,95,2,2,0.98,0.74,0.84,376,0,0,0,1252,22,13,0,27.76
13,2,3,0.949,0.213,0.159,0.727,0.691,0.455,355,17,2,2,0.98,0.95,0.97,376,0,0,0,1252,22,13,0,27.76
14,2,4,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,22,13,0,27.76
15,2,5,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,22,13,0,27.76
16,2,6,0.973,0.013,0.013,0.492,0.0,0.0,366,6,4,0,0.98,0.97,0.98,376,0,0,0,1252,22,13,0,27.76
17,2,7,0.497,0.101,0.02,0.746,0.701,0.517,183,189,0,4,0.99,0.5,0.65,376,0,0,0,1252,22,13,0,27.76
