,test,alg,acc,mcc,kap,auc,geo,iba,TN,FP,FN,TP,pr,re,f1,sp,pca,poly,ksel,exs,feats,tvars,time
0,1,0,0.605,0.083,0.023,0.676,0.672,0.459,176,116,1,3,0.98,0.6,0.74,296,0,2,20,986,276,13,14.0
1,1,1,0.588,0.079,0.021,0.668,0.663,0.446,171,121,1,3,0.98,0.59,0.73,296,0,2,20,986,276,13,14.0
2,1,2,0.493,0.055,0.012,0.62,0.606,0.377,143,149,1,3,0.98,0.49,0.65,296,0,2,20,986,276,13,14.0
3,1,3,0.578,0.076,0.02,0.663,0.657,0.439,168,124,1,3,0.98,0.58,0.72,296,0,2,20,986,276,13,14.0
4,1,4,0.561,0.072,0.018,0.654,0.647,0.427,163,129,1,3,0.98,0.56,0.71,296,0,2,20,986,276,13,14.0
5,1,5,0.622,0.088,0.025,0.685,0.682,0.471,181,111,1,3,0.98,0.62,0.75,296,0,2,20,986,276,13,14.0
6,1,6,0.605,0.083,0.023,0.676,0.672,0.459,176,116,1,3,0.98,0.6,0.74,296,0,2,20,986,276,13,14.0
7,1,7,0.551,0.069,0.017,0.649,0.641,0.419,160,132,1,3,0.98,0.55,0.7,296,0,2,20,986,276,13,14.0
8,1,8,0.568,0.073,0.019,0.658,0.651,0.432,165,127,1,3,0.98,0.57,0.71,296,0,2,20,986,276,13,14.0
9,1,9,0.578,0.076,0.02,0.663,0.657,0.439,168,124,1,3,0.98,0.58,0.72,296,0,2,20,986,276,13,14.0
10,2,0,0.53,0.121,0.029,0.762,0.724,0.549,153,139,0,4,0.99,0.53,0.68,296,0,2,20,986,276,13,38.43
11,2,1,0.764,0.006,0.002,0.51,0.439,0.183,225,67,3,1,0.97,0.76,0.85,296,0,2,20,986,276,13,38.43
12,2,2,0.649,0.096,0.029,0.699,0.697,0.49,189,103,1,3,0.98,0.65,0.77,296,0,2,20,986,276,13,38.43
13,2,3,0.953,0.022,0.02,0.483,0.0,0.0,282,10,4,0,0.97,0.95,0.96,296,0,2,20,986,276,13,38.43
14,2,4,0.943,0.025,0.021,0.478,0.0,0.0,279,13,4,0,0.97,0.94,0.96,296,0,2,20,986,276,13,38.43
