,test,alg,acc,mcc,kap,auc,geo,iba,TN,FP,FN,TP,pr,re,f1,sp,pca,poly,ksel,exs,feats,tvars,time
0,1,0,0.511,0.091,0.016,0.753,0.712,0.532,187,182,0,3,0.99,0.51,0.67,372,0,2,60,1240,276,13,29.73
1,1,1,0.495,0.088,0.015,0.745,0.7,0.516,181,188,0,3,0.99,0.49,0.65,372,0,2,60,1240,276,13,29.73
2,1,2,0.734,0.081,0.024,0.701,0.7,0.486,271,98,1,2,0.99,0.73,0.84,372,0,2,60,1240,276,13,29.73
3,1,3,0.887,0.155,0.073,0.778,0.77,0.579,328,41,1,2,0.99,0.89,0.93,372,0,2,60,1240,276,13,29.73
4,1,4,0.949,0.245,0.162,0.809,0.796,0.616,351,18,1,2,0.99,0.95,0.97,372,0,2,60,1240,276,13,29.73
5,1,5,0.981,0.009,0.009,0.495,0.0,0.0,365,4,3,0,0.98,0.98,0.98,372,0,2,60,1240,276,13,29.73
6,1,6,0.987,0.007,0.006,0.497,0.0,0.0,367,2,3,0,0.98,0.99,0.99,372,0,2,60,1240,276,13,29.73
7,1,7,0.984,0.008,0.008,0.496,0.0,0.0,366,3,3,0,0.98,0.98,0.98,372,0,2,60,1240,276,13,29.73
8,1,8,0.992,0.0,0.0,0.5,0.0,0.0,369,0,3,0,0.98,0.99,0.99,372,0,2,60,1240,276,13,29.73
9,1,9,0.992,0.0,0.0,0.5,0.0,0.0,369,0,3,0,0.98,0.99,0.99,372,0,2,60,1240,276,13,29.73
10,2,0,0.554,0.099,0.019,0.775,0.742,0.575,203,166,0,3,0.99,0.55,0.7,372,0,2,60,1240,276,13,67.36
11,2,1,0.879,0.032,0.015,0.443,0.0,0.0,327,42,3,0,0.98,0.88,0.93,372,0,2,60,1240,276,13,67.36
12,2,2,0.833,0.039,0.016,0.42,0.0,0.0,310,59,3,0,0.98,0.83,0.9,372,0,2,60,1240,276,13,67.36
13,2,3,0.973,0.012,0.011,0.491,0.0,0.0,362,7,3,0,0.98,0.97,0.98,372,0,2,60,1240,276,13,67.36
14,2,4,0.97,0.013,0.012,0.489,0.0,0.0,361,8,3,0,0.98,0.97,0.98,372,0,2,60,1240,276,13,67.36
15,2,5,0.976,0.012,0.011,0.492,0.0,0.0,363,6,3,0,0.98,0.98,0.98,372,0,2,60,1240,276,13,67.36
16,2,6,0.97,0.013,0.012,0.489,0.0,0.0,361,8,3,0,0.98,0.97,0.98,372,0,2,60,1240,276,13,67.36
17,2,7,0.978,0.011,0.01,0.493,0.0,0.0,364,5,3,0,0.98,0.98,0.98,372,0,2,60,1240,276,13,67.36
18,2,8,0.957,0.017,0.013,0.482,0.0,0.0,356,13,3,0,0.98,0.96,0.97,372,0,2,60,1240,276,13,67.36
19,2,9,0.941,0.021,0.014,0.474,0.0,0.0,350,19,3,0,0.98,0.94,0.96,372,0,2,60,1240,276,13,67.36
20,3,0,0.524,0.093,0.017,0.76,0.721,0.545,192,177,0,3,0.99,0.52,0.68,372,0,2,60,1240,276,13,16.04
21,3,1,0.492,0.087,0.015,0.744,0.698,0.513,180,189,0,3,0.99,0.49,0.65,372,0,2,60,1240,276,13,16.04
22,3,2,0.858,0.036,0.015,0.432,0.0,0.0,319,50,3,0,0.98,0.86,0.92,372,0,2,60,1240,276,13,16.04
23,3,3,0.368,0.068,0.009,0.682,0.603,0.386,134,235,0,3,0.99,0.37,0.53,372,0,2,60,1240,276,13,16.04
24,3,4,0.441,0.04,0.006,0.388,0.384,0.146,163,206,2,1,0.98,0.44,0.61,372,0,2,60,1240,276,13,16.04
25,3,5,0.605,0.05,0.011,0.636,0.635,0.405,223,146,1,2,0.99,0.6,0.75,372,0,2,60,1240,276,13,16.04
26,3,6,0.462,0.082,0.013,0.729,0.677,0.483,169,200,0,3,0.99,0.46,0.62,372,0,2,60,1240,276,13,16.04
27,3,7,0.36,0.066,0.009,0.678,0.596,0.378,131,238,0,3,0.99,0.36,0.52,372,0,2,60,1240,276,13,16.04
28,3,8,0.401,0.072,0.01,0.698,0.629,0.42,146,223,0,3,0.99,0.4,0.56,372,0,2,60,1240,276,13,16.04
