,test,alg,acc,mcc,kap,auc,geo,iba,TN,FP,FN,TP,pr,re,f1,sp,pca,poly,ksel,exs,feats,tvars,time
0,1,0,0.53,0.064,0.016,0.639,0.629,0.404,154,138,1,3,0.98,0.53,0.68,296,0,0,40,986,222,13,14.48
1,1,1,0.743,0.066,0.026,0.377,0.0,0.0,220,72,4,0,0.97,0.74,0.84,296,0,0,40,986,222,13,14.48
2,1,2,0.361,0.034,0.006,0.43,0.424,0.182,105,187,2,2,0.97,0.36,0.52,296,0,0,40,986,222,13,14.48
3,1,3,0.507,0.059,0.014,0.627,0.614,0.387,147,145,1,3,0.98,0.51,0.66,296,0,0,40,986,222,13,14.48
4,1,4,0.443,0.014,0.003,0.471,0.47,0.222,129,163,2,2,0.97,0.44,0.6,296,0,0,40,986,222,13,14.48
5,1,5,0.726,0.069,0.026,0.368,0.0,0.0,215,77,4,0,0.97,0.73,0.83,296,0,0,40,986,222,13,14.48
6,1,6,0.463,0.066,0.014,0.358,0.341,0.114,136,156,3,1,0.97,0.46,0.62,296,0,0,40,986,222,13,14.48
7,1,7,0.679,0.045,0.015,0.591,0.584,0.335,199,93,2,2,0.98,0.68,0.8,296,0,0,40,986,222,13,14.48
8,1,8,0.669,0.08,0.027,0.339,0.0,0.0,198,94,4,0,0.97,0.67,0.79,296,0,0,40,986,222,13,14.48
9,1,9,0.831,0.05,0.025,0.421,0.0,0.0,246,46,4,0,0.97,0.83,0.9,296,0,0,40,986,222,13,14.48
10,2,0,0.791,0.014,0.006,0.524,0.447,0.189,233,59,3,1,0.97,0.79,0.87,296,0,0,40,986,222,13,34.05
11,2,1,0.828,0.051,0.026,0.42,0.0,0.0,245,47,4,0,0.97,0.83,0.89,296,0,0,40,986,222,13,34.05
12,2,2,0.872,0.046,0.026,0.565,0.469,0.206,257,35,3,1,0.98,0.87,0.92,296,0,0,40,986,222,13,34.05
13,2,3,0.986,0.0,0.0,0.5,0.0,0.0,292,0,4,0,0.97,0.99,0.98,296,0,0,40,986,222,13,34.05
14,2,4,0.983,0.007,0.005,0.498,0.0,0.0,291,1,4,0,0.97,0.98,0.98,296,0,0,40,986,222,13,34.05
15,2,5,0.976,0.012,0.012,0.495,0.0,0.0,289,3,4,0,0.97,0.98,0.97,296,0,0,40,986,222,13,34.05
16,2,6,0.98,0.01,0.009,0.497,0.0,0.0,290,2,4,0,0.97,0.98,0.98,296,0,0,40,986,222,13,34.05
17,2,7,0.976,0.012,0.012,0.495,0.0,0.0,289,3,4,0,0.97,0.98,0.97,296,0,0,40,986,222,13,34.05
18,2,8,0.953,0.022,0.02,0.483,0.0,0.0,282,10,4,0,0.97,0.95,0.96,296,0,0,40,986,222,13,34.05
19,2,9,0.929,0.029,0.022,0.471,0.0,0.0,275,17,4,0,0.97,0.93,0.95,296,0,0,40,986,222,13,34.05
20,3,0,0.618,0.087,0.025,0.683,0.68,0.469,180,112,1,3,0.98,0.62,0.75,296,0,0,40,986,222,13,20.62
21,3,1,0.764,0.063,0.026,0.387,0.0,0.0,226,66,4,0,0.97,0.76,0.85,296,0,0,40,986,222,13,20.62
22,3,2,0.956,0.021,0.019,0.485,0.0,0.0,283,9,4,0,0.97,0.96,0.96,296,0,0,40,986,222,13,20.62
23,3,3,0.973,0.014,0.014,0.493,0.0,0.0,288,4,4,0,0.97,0.97,0.97,296,0,0,40,986,222,13,20.62
24,3,4,0.986,0.0,0.0,0.5,0.0,0.0,292,0,4,0,0.97,0.99,0.98,296,0,0,40,986,222,13,20.62
25,3,5,0.983,0.007,0.005,0.498,0.0,0.0,291,1,4,0,0.97,0.98,0.98,296,0,0,40,986,222,13,20.62
26,3,6,0.966,0.017,0.016,0.49,0.0,0.0,286,6,4,0,0.97,0.97,0.97,296,0,0,40,986,222,13,20.62
27,3,7,0.736,0.068,0.026,0.373,0.0,0.0,218,74,4,0,0.97,0.74,0.84,296,0,0,40,986,222,13,20.62
28,3,8,0.983,0.007,0.005,0.498,0.0,0.0,291,1,4,0,0.97,0.98,0.98,296,0,0,40,986,222,13,20.62
29,3,9,0.986,0.0,0.0,0.5,0.0,0.0,292,0,4,0,0.97,0.99,0.98,296,0,0,40,986,222,13,20.62
30,4,0,0.53,0.064,0.016,0.639,0.629,0.404,154,138,1,3,0.98,0.53,0.68,296,0,0,80,986,222,13,15.25
31,4,1,0.703,0.01,0.004,0.479,0.421,0.169,207,85,3,1,0.97,0.7,0.81,296,0,0,80,986,222,13,15.25
32,4,2,0.466,0.049,0.01,0.606,0.589,0.357,135,157,1,3,0.98,0.47,0.62,296,0,0,80,986,222,13,15.25
33,4,3,0.541,0.01,0.002,0.521,0.52,0.269,158,134,2,2,0.97,0.54,0.69,296,0,0,80,986,222,13,15.25
34,4,4,0.537,0.048,0.012,0.396,0.368,0.131,158,134,3,1,0.97,0.54,0.69,296,0,0,80,986,222,13,15.25
35,4,5,0.774,0.061,0.026,0.392,0.0,0.0,229,63,4,0,0.97,0.77,0.86,296,0,0,80,986,222,13,15.25
36,4,6,0.47,0.05,0.011,0.608,0.591,0.359,136,156,1,3,0.98,0.47,0.63,296,0,0,80,986,222,13,15.25
37,4,7,0.679,0.016,0.005,0.467,0.414,0.164,200,92,3,1,0.97,0.68,0.8,296,0,0,80,986,222,13,15.25
38,4,8,0.645,0.084,0.027,0.327,0.0,0.0,191,101,4,0,0.97,0.65,0.77,296,0,0,80,986,222,13,15.25
39,4,9,0.757,0.004,0.001,0.507,0.437,0.181,223,69,3,1,0.97,0.76,0.85,296,0,0,80,986,222,13,15.25
40,5,0,0.77,0.008,0.003,0.514,0.441,0.184,227,65,3,1,0.97,0.77,0.86,296,0,0,80,986,222,13,44.65
41,5,1,0.939,0.026,0.021,0.476,0.0,0.0,278,14,4,0,0.97,0.94,0.96,296,0,0,80,986,222,13,44.65
42,5,2,0.946,0.024,0.021,0.479,0.0,0.0,280,12,4,0,0.97,0.95,0.96,296,0,0,80,986,222,13,44.65
43,5,3,0.986,0.0,0.0,0.5,0.0,0.0,292,0,4,0,0.97,0.99,0.98,296,0,0,80,986,222,13,44.65
44,5,4,0.98,0.01,0.009,0.497,0.0,0.0,290,2,4,0,0.97,0.98,0.98,296,0,0,80,986,222,13,44.65
45,5,5,0.98,0.01,0.009,0.497,0.0,0.0,290,2,4,0,0.97,0.98,0.98,296,0,0,80,986,222,13,44.65
46,5,6,0.986,0.0,0.0,0.5,0.0,0.0,292,0,4,0,0.97,0.99,0.98,296,0,0,80,986,222,13,44.65
47,5,7,0.986,0.0,0.0,0.5,0.0,0.0,292,0,4,0,0.97,0.99,0.98,296,0,0,80,986,222,13,44.65
48,5,8,0.97,0.015,0.015,0.491,0.0,0.0,287,5,4,0,0.97,0.97,0.97,296,0,0,80,986,222,13,44.65
49,5,9,0.926,0.03,0.023,0.469,0.0,0.0,274,18,4,0,0.97,0.93,0.95,296,0,0,80,986,222,13,44.65
50,6,0,0.652,0.097,0.03,0.7,0.699,0.493,190,102,1,3,0.98,0.65,0.78,296,0,0,80,986,222,13,23.02
51,6,1,0.716,0.118,0.042,0.733,0.733,0.539,209,83,1,3,0.98,0.72,0.82,296,0,0,80,986,222,13,23.02
52,6,2,0.807,0.055,0.026,0.409,0.0,0.0,239,53,4,0,0.97,0.81,0.88,296,0,0,80,986,222,13,23.02
53,6,3,0.97,0.015,0.015,0.491,0.0,0.0,287,5,4,0,0.97,0.97,0.97,296,0,0,80,986,222,13,23.02
54,6,4,0.986,0.0,0.0,0.5,0.0,0.0,292,0,4,0,0.97,0.99,0.98,296,0,0,80,986,222,13,23.02
55,6,5,0.97,0.015,0.015,0.491,0.0,0.0,287,5,4,0,0.97,0.97,0.97,296,0,0,80,986,222,13,23.02
56,6,6,0.986,0.0,0.0,0.5,0.0,0.0,292,0,4,0,0.97,0.99,0.98,296,0,0,80,986,222,13,23.02
57,6,7,0.943,0.025,0.021,0.478,0.0,0.0,279,13,4,0,0.97,0.94,0.96,296,0,0,80,986,222,13,23.02
58,6,8,0.986,0.0,0.0,0.5,0.0,0.0,292,0,4,0,0.97,0.99,0.98,296,0,0,80,986,222,13,23.02
59,6,9,0.986,0.0,0.0,0.5,0.0,0.0,292,0,4,0,0.97,0.99,0.98,296,0,0,80,986,222,13,23.02
60,7,0,0.53,0.064,0.016,0.639,0.629,0.404,154,138,1,3,0.98,0.53,0.68,296,0,0,100,986,222,13,15.78
61,7,1,0.446,0.102,0.021,0.719,0.662,0.463,128,164,0,4,0.99,0.45,0.6,296,0,0,100,986,222,13,15.78
62,7,2,0.476,0.006,0.001,0.488,0.488,0.239,139,153,2,2,0.97,0.48,0.63,296,0,0,100,986,222,13,15.78
63,7,3,0.51,0.002,0.001,0.505,0.505,0.255,149,143,2,2,0.97,0.51,0.66,296,0,0,100,986,222,13,15.78
64,7,4,0.517,0.004,0.001,0.509,0.508,0.258,151,141,2,2,0.97,0.52,0.67,296,0,0,100,986,222,13,15.78
65,7,5,0.794,0.015,0.007,0.526,0.448,0.189,234,58,3,1,0.97,0.79,0.87,296,0,0,100,986,222,13,15.78
66,7,6,0.51,0.059,0.014,0.628,0.617,0.389,148,144,1,3,0.98,0.51,0.66,296,0,0,100,986,222,13,15.78
67,7,7,0.733,0.068,0.026,0.372,0.0,0.0,217,75,4,0,0.97,0.73,0.83,296,0,0,100,986,222,13,15.78
