,test,alg,acc,mcc,kap,auc,geo,iba,TN,FP,FN,TP,pr,re,f1,sp,pca,poly,ksel,exs,feats,tvars,time
0,1,0,0.799,0.189,0.112,0.732,-1.0,-1.0,1466,359,18,35,0.96,0.8,0.87,1878,0,0,0,6257,16,148,-1.0
1,1,1,0.609,0.164,0.064,0.744,-1.0,-1.0,1096,729,6,47,0.97,0.61,0.73,1878,0,0,0,6257,16,148,-1.0
2,1,2,0.991,0.845,0.845,0.922,-1.0,-1.0,1817,8,8,45,0.99,0.99,0.99,1878,0,0,0,6257,16,148,-1.0
3,1,3,0.991,0.834,0.829,0.877,-1.0,-1.0,1822,3,13,40,0.99,0.99,0.99,1878,0,0,0,6257,16,148,-1.0
4,1,4,0.972,0.0,0.0,0.5,-1.0,-1.0,1825,0,53,0,0.94,0.97,0.96,1878,0,0,0,6257,16,148,-1.0
5,1,5,0.984,0.67,0.659,0.781,-1.0,-1.0,1818,7,23,30,0.98,0.98,0.98,1878,0,0,0,6257,16,148,-1.0
6,1,6,0.984,0.666,0.651,0.772,-1.0,-1.0,1819,6,24,29,0.98,0.98,0.98,1878,0,0,0,6257,16,148,-1.0
7,1,7,0.989,0.834,0.828,0.967,-1.0,-1.0,1808,17,3,50,0.99,0.99,0.99,1878,0,0,0,6257,16,148,-1.0
8,1,8,0.594,0.158,0.06,0.736,-1.0,-1.0,1068,757,6,47,0.97,0.59,0.72,1878,0,0,0,6257,16,148,-1.0
9,1,9,0.991,0.842,0.842,0.913,-1.0,-1.0,1818,7,9,44,0.99,0.99,0.99,1878,0,0,0,6257,16,148,-1.0
10,2,0,0.618,0.157,0.066,0.721,-1.0,-1.0,1111,708,10,49,0.96,0.62,0.74,1878,0,0,0,6257,16,160,-1.0
11,2,1,0.891,0.163,0.136,0.641,-1.0,-1.0,1652,167,37,22,0.95,0.89,0.92,1878,0,0,0,6257,16,160,-1.0
12,2,2,0.99,0.823,0.821,0.88,-1.0,-1.0,1814,5,14,45,0.99,0.99,0.99,1878,0,0,0,6257,16,160,-1.0
13,2,3,0.983,0.695,0.685,0.795,-1.0,-1.0,1812,7,24,35,0.98,0.98,0.98,1878,0,0,0,6257,16,160,-1.0
14,2,4,0.969,0.0,0.0,0.5,-1.0,-1.0,1819,0,59,0,0.94,0.97,0.95,1878,0,0,0,6257,16,160,-1.0
15,2,5,0.973,0.44,0.407,0.65,-1.0,-1.0,1810,9,41,18,0.97,0.97,0.97,1878,0,0,0,6257,16,160,-1.0
16,2,6,0.979,0.645,0.644,0.809,-1.0,-1.0,1802,17,22,37,0.98,0.98,0.98,1878,0,0,0,6257,16,160,-1.0
17,2,7,0.982,0.758,0.748,0.941,-1.0,-1.0,1791,28,6,53,0.99,0.98,0.98,1878,0,0,0,6257,16,160,-1.0
18,2,8,0.611,0.166,0.068,0.734,-1.0,-1.0,1097,722,8,51,0.96,0.61,0.73,1878,0,0,0,6257,16,160,-1.0
19,2,9,0.991,0.846,0.845,0.905,-1.0,-1.0,1813,6,11,48,0.99,0.99,0.99,1878,0,0,0,6257,16,160,-1.0
20,3,0,0.651,0.149,0.055,0.753,-1.0,-1.0,1989,1087,9,55,0.98,0.65,0.77,3140,0,0,0,10465,16,213,-1.0
21,3,1,0.947,0.205,0.188,0.652,-1.0,-1.0,2953,123,42,22,0.97,0.95,0.96,3140,0,0,0,10465,16,213,-1.0
22,3,2,0.913,0.183,0.142,0.68,-1.0,-1.0,2839,237,36,28,0.97,0.91,0.94,3140,0,0,0,10465,16,213,-1.0
23,3,3,0.996,0.908,0.906,0.922,-1.0,-1.0,3075,1,10,54,1.0,1.0,1.0,3140,0,0,0,10465,16,213,-1.0
24,3,4,0.994,0.846,0.839,0.875,-1.0,-1.0,3074,2,16,48,0.99,0.99,0.99,3140,0,0,0,10465,16,213,-1.0
25,3,5,0.993,0.831,0.831,0.912,-1.0,-1.0,3066,10,11,53,0.99,0.99,0.99,3140,0,0,0,10465,16,213,-1.0
26,3,6,0.984,0.636,0.634,0.839,-1.0,-1.0,3047,29,20,44,0.99,0.98,0.98,3140,0,0,0,10465,16,213,-1.0
27,3,7,0.994,0.861,0.861,0.944,-1.0,-1.0,3065,11,7,57,0.99,0.99,0.99,3140,0,0,0,10465,16,213,-1.0
28,3,8,0.992,0.77,0.76,0.827,-1.0,-1.0,3072,4,22,42,0.99,0.99,0.99,3140,0,0,0,10465,16,213,-1.0
29,3,9,0.994,0.847,0.847,0.92,-1.0,-1.0,3067,9,10,54,0.99,0.99,0.99,3140,0,0,0,10465,16,213,-1.0
30,4,0,0.65,0.165,0.061,0.777,-1.0,-1.0,1982,1092,6,60,0.98,0.65,0.77,3140,0,0,0,10465,16,221,-1.0
31,4,1,0.791,0.235,0.119,0.842,-1.0,-1.0,2426,648,7,59,0.98,0.79,0.87,3140,0,0,0,10465,16,221,-1.0
32,4,2,0.786,0.182,0.093,0.765,-1.0,-1.0,2420,654,17,49,0.97,0.79,0.86,3140,0,0,0,10465,16,221,-1.0
33,4,3,0.996,0.892,0.892,0.946,-1.0,-1.0,3067,7,7,59,1.0,1.0,1.0,3140,0,0,0,10465,16,221,-1.0
34,4,4,0.994,0.852,0.847,0.886,-1.0,-1.0,3071,3,15,51,0.99,0.99,0.99,3140,0,0,0,10465,16,221,-1.0
35,4,5,0.987,0.633,0.625,0.771,-1.0,-1.0,3062,12,30,36,0.99,0.99,0.99,3140,0,0,0,10465,16,221,-1.0
36,4,6,0.995,0.874,0.874,0.931,-1.0,-1.0,3067,7,9,57,0.99,0.99,0.99,3140,0,0,0,10465,16,221,-1.0
37,4,7,0.993,0.844,0.842,0.952,-1.0,-1.0,3058,16,6,60,0.99,0.99,0.99,3140,0,0,0,10465,16,221,-1.0
38,4,8,0.992,0.779,0.772,0.84,-1.0,-1.0,3069,5,21,45,0.99,0.99,0.99,3140,0,0,0,10465,16,221,-1.0
39,4,9,0.995,0.887,0.886,0.953,-1.0,-1.0,3065,9,6,60,1.0,1.0,1.0,3140,0,0,0,10465,16,221,-1.0
40,5,0,0.659,0.154,0.058,0.758,-1.0,-1.0,2014,1061,9,56,0.98,0.66,0.78,3140,0,0,0,10465,16,221,114.41
41,5,1,0.722,0.191,0.082,0.805,-1.0,-1.0,2208,867,7,58,0.98,0.72,0.82,3140,0,0,0,10465,16,221,114.41
42,5,2,0.869,0.156,0.102,0.685,-1.0,-1.0,2696,379,33,32,0.97,0.87,0.91,3140,0,0,0,10465,16,221,114.41
43,5,3,0.994,0.84,0.835,0.876,-1.0,-1.0,3072,3,16,49,0.99,0.99,0.99,3140,0,0,0,10465,16,221,114.41
44,5,4,0.994,0.829,0.818,0.854,-1.0,-1.0,3074,1,19,46,0.99,0.99,0.99,3140,0,0,0,10465,16,221,114.41
45,5,5,0.982,0.46,0.436,0.667,-1.0,-1.0,3063,12,43,22,0.98,0.98,0.98,3140,0,0,0,10465,16,221,114.41
46,5,6,0.992,0.802,0.802,0.898,-1.0,-1.0,3063,12,13,52,0.99,0.99,0.99,3140,0,0,0,10465,16,221,114.41
47,5,7,0.992,0.823,0.818,0.958,-1.0,-1.0,3054,21,5,60,0.99,0.99,0.99,3140,0,0,0,10465,16,221,114.41
48,5,8,0.993,0.803,0.796,0.853,-1.0,-1.0,3071,4,19,46,0.99,0.99,0.99,3140,0,0,0,10465,16,221,114.41
49,5,9,0.996,0.897,0.897,0.945,-1.0,-1.0,3069,6,7,58,1.0,1.0,1.0,3140,0,0,0,10465,16,221,114.41
50,6,0,0.648,0.153,0.057,0.755,-1.0,-1.0,1978,1095,9,58,0.98,0.65,0.77,3140,0,0,0,10465,16,221,117.28
51,6,1,0.723,0.186,0.081,0.793,-1.0,-1.0,2213,860,9,58,0.98,0.72,0.82,3140,0,0,0,10465,16,221,117.28
52,6,2,0.968,0.06,0.058,0.524,-1.0,-1.0,3035,38,63,4,0.96,0.97,0.96,3140,0,0,0,10465,16,221,117.28
53,6,3,0.994,0.853,0.845,0.873,-1.0,-1.0,3072,1,17,50,0.99,0.99,0.99,3140,0,0,0,10465,16,221,117.28
54,6,4,0.993,0.807,0.793,0.836,-1.0,-1.0,3072,1,22,45,0.99,0.99,0.99,3140,0,0,0,10465,16,221,117.28
55,6,5,0.99,0.733,0.728,0.827,-1.0,-1.0,3064,9,23,44,0.99,0.99,0.99,3140,0,0,0,10465,16,221,117.28
56,6,6,0.991,0.786,0.786,0.893,-1.0,-1.0,3059,14,14,53,0.99,0.99,0.99,3140,0,0,0,10465,16,221,117.28
57,6,7,0.993,0.843,0.841,0.945,-1.0,-1.0,3058,15,7,60,0.99,0.99,0.99,3140,0,0,0,10465,16,221,117.28
58,6,8,0.991,0.766,0.758,0.835,-1.0,-1.0,3067,6,22,45,0.99,0.99,0.99,3140,0,0,0,10465,16,221,117.28
59,6,9,0.995,0.882,0.881,0.925,-1.0,-1.0,3068,5,10,57,1.0,1.0,1.0,3140,0,0,0,10465,16,221,117.28
60,7,0,0.59,0.093,0.029,0.668,-1.0,-1.0,122,86,1,3,0.97,0.59,0.72,212,0,0,0,705,16,14,14.03
