datetime_stamp,filename,raw_overlap,lhood_overlap,loglhood_overlap,total_marks,after_marks,total_row
# mp_d1_w0_a05_n400_rad25  pam=1   (startrow =4320 for all unless stated)
2017-01-03 15:09,stm_aasane01_03_modified.csv,"[3, 27, 384]","[1, 5, 46]","[1, 0, 2]",5,3,23247
2017-01-03 15:19,stm_aasane16_modified.csv,"[5, 19, 296]","[0, 1, 4]","[0, 0, 0]",7,6,22150
2017-01-03 15:30,stm_aasane18_modified.csv,"[4, 10, 567]","[0, 0, 0]","[0, 0, 0]",4,4,25913
2017-01-03 15:48,stm_fusa04 (edited).csv,"[0, 0, 406]","[0, 0, 30]","[0, 0, 16]",0,0,47136
2017-01-03 16:01,stm_sb_modified.csv,"[8, 55, 550]","[0, 0, 5]","[0, 0, 1]",13,10,31488
2017-01-03 16:14,stm_kontroll02 (edited).csv,"[0, 0, 655]","[0, 0, 1]","[0, 0, 0]",0,0,24539
2017-01-03 16:23,stm_kontroll05 (edited).csv,"[0, 0, 464]","[0, 0, 5]","[0, 0, 0]",0,0,21672
# mp_d1_w0_a038_n400_rad2  pam=1
2017-01-03 21:37,stm_aasane01_03_modified.csv,"[1, 20, 163]","[0, 0, 29]","[0, 0, 5]",5,3,23247
2017-01-03 21:47,stm_aasane16_modified.csv,"[2, 10, 92]","[0, 0, 3]","[0, 0, 0]",7,6,22150
2017-01-03 22:00,stm_aasane18_modified.csv,"[2, 4, 189]","[0, 0, 3]","[0, 0, 0]",4,4,25913
2017-01-03 22:22,stm_fusa04 (edited).csv,"[0, 0, 141]","[0, 0, 62]","[0, 0, 17]",0,0,47136
2017-01-03 22:37,stm_sb_modified.csv,"[5, 16, 241]","[0, 0, 8]","[0, 0, 1]",13,10,31488
2017-01-03 22:49,stm_kontroll02 (edited).csv,"[0, 0, 244]","[0, 0, 0]","[0, 0, 0]",0,0,24539
2017-01-03 22:59,stm_kontroll05 (edited).csv,"[0, 0, 201]","[0, 0, 34]","[0, 0, 4]",0,0,21672
# mp_h0_d1_w0_a05_n275_rad35 pam=3    *stopped*
2017-01-04 08:38,stm_aasane01_03_modified.csv,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",5,3,23247
