,stamp,name,acc,prec,recall,preval,newRecall
0,2017-04-10 09:20,stm_aasane16,0.997,0.054,0.5,0.00034,True
1,2017-04-10 09:30,stm_aasane18,0.997,0.03,0.5,0.00019,True
2,2017-04-10 09:42,stm_sb,0.9965,0.096,1.0,0.00037,True
3,2017-04-10 09:49,stm_aasane01_03,0.9968,0.09,1.0,0.00016,True
4,2017-04-10 10:07,stm_aasane16,0.9978,0.167,1.0,0.00034,True
5,2017-04-10 10:17,stm_aasane18,0.998,0.022,0.25,0.00019,True
6,2017-04-10 10:28,stm_sb,0.9983,0.118,0.6,0.00037,True
7,2017-04-10 10:36,stm_aasane01_03,0.9976,0.042,0.667,0.00016,True
8,2017-04-10 11:27,stm_aasane16,0.997,0.054,0.5,0.00034,True
9,2017-04-10 11:37,stm_aasane18,0.997,0.03,0.5,0.00019,True
10,2017-04-10 11:50,stm_sb,0.9965,0.096,1.0,0.00037,True
11,2017-04-10 11:57,stm_aasane01_03,0.9968,0.09,1.0,0.00016,True
12,2017-04-10 12:13,stm_aasane16,0.9964,0.03,0.333,0.00034,True
13,2017-04-10 12:20,stm_aasane18,0.9939,0.03,1.0,0.00019,True
14,2017-04-10 12:28,stm_sb,0.9949,0.138,1.0,0.00037,True
15,2017-04-10 12:33,stm_aasane01_03,0.9947,0.0,0.0,0.00016,True
16,2017-04-10 12:48,stm_aasane16,0.998,0.053,0.333,0.00034,True
17,2017-04-10 12:59,stm_aasane18,0.9972,0.076,1.0,0.00019,True
18,2017-04-10 13:11,stm_sb,0.9983,0.043,0.2,0.00037,True
19,2017-04-10 13:19,stm_aasane01_03,0.9962,0.174,1.0,0.00016,True
20,2017-04-10 13:37,stm_aasane16,0.9964,0.0,0.0,0.00034,True
21,2017-04-10 13:45,stm_aasane18,0.9968,0.0,0.0,0.00019,True
22,2017-04-10 13:55,stm_sb,0.9963,0.019,0.2,0.00037,True
23,2017-04-10 14:02,stm_aasane01_03,0.9956,0.035,1.0,0.00016,True
24,2017-04-10 14:19,stm_aasane16,0.9993,0.2,0.5,0.00034,True
25,2017-04-10 14:29,stm_aasane18,0.9993,0.0,0.0,0.00019,True
26,2017-04-10 14:42,stm_sb,0.9991,0.0,0.0,0.00037,True
27,2017-04-10 14:50,stm_aasane01_03,0.9977,0.157,1.0,0.00016,True
28,2017-04-10 15:09,stm_aasane16,0.997,0.018,0.167,0.00034,True
29,2017-04-10 15:18,stm_aasane18,0.9972,0.032,0.5,0.00019,True
30,2017-04-10 15:29,stm_sb,0.9977,0.031,0.2,0.00037,True
31,2017-04-10 15:36,stm_aasane01_03,0.9953,0.119,1.0,0.00016,True
32,2017-04-10 15:55,stm_aasane16,1.0,1.0,0.833,0.00034,True
33,2017-04-10 16:06,stm_aasane18,0.9999,0.0,0.0,0.00019,True
34,2017-04-10 16:18,stm_sb,0.9999,0.0,0.0,0.00037,True
35,2017-04-10 16:46,stm_aasane16,0.9979,0.0,0.0,0.00034,True
36,2017-04-10 16:56,stm_aasane18,0.9982,0.0,0.0,0.00019,True
37,2017-04-10 17:07,stm_sb,0.9987,0.053,0.2,0.00037,True
38,2017-04-10 17:15,stm_aasane01_03,0.9986,0.0,0.0,0.00016,True
39,2017-04-10 17:34,stm_aasane16,0.9976,0.192,1.0,0.00034,True
40,2017-04-10 17:45,stm_aasane18,0.9989,0.0,0.0,0.00019,True
41,2017-04-10 17:59,stm_sb,0.999,0.133,0.4,0.00037,True
42,2017-04-10 18:09,stm_aasane01_03,0.9973,0.0,0.0,0.00016,True
43,2017-04-10 18:27,stm_aasane16,0.9969,0.035,0.333,0.00034,True
44,2017-04-10 18:36,stm_aasane18,0.9974,0.018,0.25,0.00019,True
45,2017-04-10 18:48,stm_sb,0.9979,0.162,1.0,0.00037,True
46,2017-04-10 18:55,stm_aasane01_03,0.9957,0.0,0.0,0.00016,True
47,2017-04-10 19:13,stm_aasane16,0.9989,0.231,1.0,0.00034,True
48,2017-04-10 19:24,stm_aasane18,0.9991,0.0,0.0,0.00019,True
49,2017-04-10 19:37,stm_sb,0.9996,0.353,0.6,0.00037,True
50,2017-04-10 19:46,stm_aasane01_03,0.9992,0.0,0.0,0.00016,True
51,2017-04-10 20:05,stm_aasane16,0.9975,0.12,1.0,0.00034,True
52,2017-04-10 20:15,stm_aasane18,0.9972,0.048,0.75,0.00019,True
53,2017-04-10 20:26,stm_sb,0.9978,0.181,1.0,0.00037,True
54,2017-04-10 20:34,stm_aasane01_03,0.9979,0.071,1.0,0.00016,True
55,2017-04-10 20:52,stm_aasane16,0.9999,0.6,0.5,0.00034,True
56,2017-04-10 21:03,stm_aasane18,0.9994,0.0,0.0,0.00019,True
57,2017-04-10 21:15,stm_sb,0.9994,0.0,0.0,0.00037,True
58,2017-04-10 21:25,stm_aasane01_03,0.999,0.0,0.0,0.00016,True
59,2017-04-10 21:43,stm_aasane16,0.9979,0.075,0.5,0.00034,True
60,2017-04-10 21:53,stm_aasane18,0.999,0.0,0.0,0.00019,True
61,2017-04-10 22:04,stm_sb,0.9988,0.154,0.6,0.00037,True
